morph,type,id,trial,Passby,Attack
red,heterospecific,19,2,1,0
red,heterospecific,20,1,1,0
red,heterospecific,20,2,1,0
red,heterospecific,20,3,0,0
yellow,heterospecific,1,1,0,10
yellow,heterospecific,1,2,5,6
yellow,heterospecific,2,1,1,0
yellow,heterospecific,3,1,0,0
yellow,heterospecific,3,2,2,0
yellow,heterospecific,3,3,0,0
yellow,heterospecific,4,1,1,2
yellow,heterospecific,4,2,5,0
yellow,heterospecific,4,3,1,0
yellow,heterospecific,5,1,0,0
yellow,heterospecific,5,2,2,0
yellow,heterospecific,6,1,0,0
yellow,heterospecific,6,2,1,1
yellow,heterospecific,6,3,0,2
yellow,heterospecific,7,1,0,2
yellow,heterospecific,8,1,1,2
yellow,heterospecific,8,2,2,0
yellow,heterospecific,8,3,0,0
yellow,heterospecific,9,1,0,0
yellow,heterospecific,9,2,3,0
yellow,heterospecific,9,3,0,0
yellow,heterospecific,10,1,1,0
yellow,heterospecific,10,2,2,0
yellow,heterospecific,10,3,3,4
yellow,heterospecific,11,1,2,1
yellow,heterospecific,11,2,3,0
yellow,heterospecific,11,3,1,0
yellow,heterospecific,12,1,1,1
yellow,heterospecific,12,2,4,0
yellow,heterospecific,12,3,0,0
yellow,heterospecific,13,1,0,1
yellow,heterospecific,13,2,0,0
yellow,heterospecific,13,3,0,1
yellow,heterospecific,14,1,0,1
yellow,heterospecific,14,2,0,2
yellow,heterospecific,14,3,2,4
yellow,heterospecific,15,1,0,0
yellow,heterospecific,15,2,2,0
yellow,heterospecific,15,3,0,0
yellow,heterospecific,16,1,0,0
yellow,heterospecific,16,2,0,0
yellow,heterospecific,16,3,1,0
yellow,heterospecific,17,1,1,0
yellow,heterospecific,17,2,2,0
yellow,heterospecific,18,1,2,0
yellow,heterospecific,18,2,1,0
yellow,heterospecific,18,3,2,0
yellow,heterospecific,19,1,4,0
yellow,heterospecific,19,2,1,0
yellow,heterospecific,20,1,1,2
yellow,heterospecific,20,2,2,0
yellow,heterospecific,20,3,0,0
