cage_id,date,male,tandem,no_tandem,tandem time,Tandem to wheel,wheel,no_wheel,wheel time
56,9022018,control,1,0,1.06,0,0,1,0
56,9022018,manipulated,0,1,0,0,0,1,0
57,9022018,control,1,0,NA,3.2,1,0,5.13
57,9022018,manipulated,0,1,0,0,0,1,0
58,9022018,control,1,0,9.12,0,0,1,0
58,9022018,manipulated,0,1,0,0,0,1,0
59,9022018,control,1,0,NA,6.34,1,0,5.34
59,9022018,manipulated,0,1,0,0,0,1,0
60,9022018,control,0,1,0,0,0,1,0
60,9022018,manipulated,0,1,0,0,0,1,0
61,9022018,control,1,0,NA,2.18,1,0,3.45
61,9022018,manipulated,0,1,0,0,0,1,0
62,9022018,control,1,0,3.28,0,0,1,0
62,9022018,manipulated,0,1,0,0,0,1,0
63,10022018,control,1,0,8.03,0,0,1,0
63,10022018,manipulated,0,1,0,0,0,1,0
64,10022018,control,0,1,0,0,0,1,0
64,10022018,manipulated,1,0,NA,4.04,1,0,6.21
65,10022018,control,0,1,0,0,0,1,0
65,10022018,manipulated,1,0,6.33,0,0,1,0
66,10022018,control,1,0,NA,11.3,1,0,4.02
66,10022018,manipulated,0,1,0,0,0,1,0
67,10022018,control,1,0,NA,1.5,1,0,3.1
67,10022018,manipulated,0,1,0,0,0,1,0
68,10022018,control,0,1,0,0,0,1,0
68,10022018,manipulated,1,0,1.15,0,0,1,0
69,10022018,control,1,0,NA,3.41,1,0,3.04
69,10022018,manipulated,0,1,0,0,0,1,0
70,10022018,control,1,0,13.3,0,0,1,0
70,10022018,manipulated,0,1,0,0,0,1,0
71,10022018,control,0,1,0,0,0,1,0
71,10022018,manipulated,1,0,1.15,0,0,1,0
72,10022018,control,0,1,0,0,0,1,0
72,10022018,manipulated,1,0,3.26,0,0,1,0
