response,condition,morph,type,id,trial,Attack,Passby
0,heterospecificPassby,red,heterospecific,5,1,0,0
0,heterospecificPassby,red,heterospecific,5,2,0,0
3,heterospecificPassby,red,heterospecific,6,1,0,3
1,heterospecificPassby,red,heterospecific,6,2,0,1
4,heterospecificPassby,red,heterospecific,6,3,1,4
5,heterospecificPassby,red,heterospecific,7,1,0,5
3,heterospecificPassby,red,heterospecific,7,2,0,3
1,heterospecificPassby,red,heterospecific,7,3,0,1
3,heterospecificPassby,red,heterospecific,8,1,0,3
1,heterospecificPassby,red,heterospecific,8,2,0,1
0,heterospecificPassby,red,heterospecific,8,3,0,0
0,heterospecificPassby,red,heterospecific,9,1,0,0
7,heterospecificPassby,red,heterospecific,9,2,1,7
2,heterospecificPassby,red,heterospecific,9,3,0,2
0,heterospecificPassby,red,heterospecific,10,1,0,0
2,heterospecificPassby,red,heterospecific,10,2,0,2
0,heterospecificPassby,red,heterospecific,10,3,0,0
0,heterospecificPassby,red,heterospecific,11,1,0,0
1,heterospecificPassby,red,heterospecific,12,1,0,1
7,heterospecificPassby,red,heterospecific,12,2,0,7
1,heterospecificPassby,red,heterospecific,12,3,0,1
2,heterospecificPassby,red,heterospecific,13,1,0,2
6,heterospecificPassby,red,heterospecific,13,2,0,6
2,heterospecificPassby,red,heterospecific,13,3,0,2
0,heterospecificPassby,red,heterospecific,14,1,0,0
0,heterospecificPassby,red,heterospecific,14,2,0,0
0,heterospecificPassby,red,heterospecific,14,3,0,0
3,heterospecificPassby,red,heterospecific,15,1,0,3
2,heterospecificPassby,red,heterospecific,15,2,0,2
0,heterospecificPassby,red,heterospecific,15,3,0,0
1,heterospecificPassby,red,heterospecific,16,1,0,1
0,heterospecificPassby,red,heterospecific,16,2,0,0
1,heterospecificPassby,red,heterospecific,16,3,0,1
1,heterospecificPassby,red,heterospecific,17,1,0,1
0,heterospecificPassby,red,heterospecific,17,2,0,0
0,heterospecificPassby,red,heterospecific,18,1,0,0
0,heterospecificPassby,red,heterospecific,18,2,0,0
0,heterospecificPassby,red,heterospecific,18,3,0,0
1,heterospecificPassby,yellow,heterospecific,1,1,0,1
1,heterospecificPassby,yellow,heterospecific,1,2,0,1
1,heterospecificPassby,yellow,heterospecific,1,3,1,1
0,heterospecificPassby,yellow,heterospecific,2,1,0,0
0,heterospecificPassby,yellow,heterospecific,2,2,0,0
1,heterospecificPassby,yellow,heterospecific,2,3,1,1
0,heterospecificPassby,yellow,heterospecific,3,1,0,0
0,heterospecificPassby,yellow,heterospecific,3,2,1,0
0,heterospecificPassby,yellow,heterospecific,4,1,0,0
0,heterospecificPassby,yellow,heterospecific,4,2,0,0
0,heterospecificPassby,yellow,heterospecific,5,1,0,0
0,heterospecificPassby,yellow,heterospecific,5,2,0,0
4,heterospecificPassby,yellow,heterospecific,6,1,0,4
0,heterospecificPassby,yellow,heterospecific,6,2,0,0
0,heterospecificPassby,yellow,heterospecific,6,3,0,0
0,heterospecificPassby,yellow,heterospecific,7,1,0,0
3,heterospecificPassby,yellow,heterospecific,7,2,0,3
1,heterospecificPassby,yellow,heterospecific,7,3,1,1
1,heterospecificPassby,yellow,heterospecific,8,1,0,1
4,heterospecificPassby,yellow,heterospecific,8,2,3,4
2,heterospecificPassby,yellow,heterospecific,8,3,2,2
0,heterospecificPassby,yellow,heterospecific,9,1,0,0
0,heterospecificPassby,yellow,heterospecific,9,2,0,0
